2,4,5,LLE1,LLE2,LLE3,LLE4,LLE5,LLE6,LTSA1,LTSA2,LTSA3,LTSA4,LTSA5,LTSA6,Mod_LLE1,Mod_LLE2,Mod_LLE3,Mod_LLE4,Mod_LLE5,Mod_LLE6,Isomap1,Isomap2,Isomap3,Isomap4,Isomap5,Isomap6,MDS1,MDS2,MDS3,MDS4,MDS5,MDS6,SE1,SE2,SE3,SE4,SE5,SE6,tSNE1,tSNE2,tSNE3,tSNE4,tSNE5,tSNE6,blosum62_val1,blosum62_val2,blosum62_val3,blosum62_val4,blosum62_val5,blosum62_val6,tip_pos,protrusion,length,total_charge,nr_charged,Happiness_mean,Nr_sad,identity,similarity,Hydropathy,Hydropathy_diff,Access,Relacc,Scacc,Screlacc,local_CA,simlength,local_CA_nom
0.0,0.0,0.0,0.2886776264986529,-0.5764864071999047,0.28867245513677786,0.2886724680125349,-0.578213270353731,0.2886771278029314,0.8536986009550203,0.3346311026414991,-0.17000693266506725,-0.1700069326650672,-0.138728487264932,0.28665382674087925,-0.288676784030018,0.5770973383820021,-0.28867368040701386,-0.2886738902304791,0.5776031261213311,-0.2886761099031784,12.268826746440384,-9.583475739186868,-1.1573792192109402,-1.157379219210939,-9.583475739186873,9.21288317035525,1.8257418583505536,-8.836000717037543,-0.3691811276550799,8.207262640808343,4.5413011414625,-5.369123795928772,-0.2261179884602497,0.4806162193652536,-0.04524875930304464,-0.2261179884602499,0.4806162193652538,-0.2420496140617419,1342.3466796875,297.6195068359375,-907.6796264648438,-907.6796264648438,2522.150390625,-2307.8798828125,6.385283576577487,11.220537970548275,11.336257743399052,11.336257743399052,11.220537970548275,4.486787738276557,99,5.8478080000000014,14,-2,2,0.91,0,0.5,0.375,-0.75,0.23,570.686,384.537,418.914,359.097,4.101,0.026786,>4<50
0.0,0.0,0.0,-0.4061073924241595,0.13391707662541474,-0.4046780494520851,0.5138548355846462,0.5151224824773294,-0.35210895286953114,0.0,0.0,0.0,0.0,0.0,1.0,0.31066188965193225,-0.20997707116055625,0.3076022685066387,-0.4882027733325791,-0.4715323610222252,0.5514480473566656,3.0039139914645183,-2.596282553989306,0.25699355792913936,-8.082898099945261,-8.832362401943824,16.250635506484713,0.09806777327760527,2.923839028441832,0.09806777327760496,-8.9345130056651,-8.934513005665101,14.74905143633316,0.3084470140748541,-0.14109202554433906,0.3084470140748543,-0.3084470140748541,-0.3084470140748541,0.4232760766330173,2944.457763671875,1845.210205078125,-1564.9962158203125,-254.8755645751953,-254.8755645751953,870.576904296875,7.740954772547113,10.802125607547604,7.740954772547113,12.229022681667276,12.229022681667276,-1.283910307462107,99,5.2992,8,1,5,0.6659999999999999,2,0.875,0.9109999999999999,-5.09,0.0,248.535,130.29399999999998,200.543,121.429,0.133,0.113875,>0<2
1.0,1.0,0.0,-0.30791265891168124,-0.3148575813286912,0.5996714464918754,-0.08270200471707859,-0.41293869753879897,0.5187394960043661,-0.09463520004543102,-0.10853824014913917,0.7163844694895752,-0.008860070148289517,-0.6637538289630395,0.15940286981638688,-0.2687275079090397,-0.3022410442933366,0.6147776636122049,-0.15841397947233546,-0.4046619451024824,0.5192668131650657,-9.090899430197434,-2.540785216101371,12.434371330765236,0.3544899385851599,-11.831345441502073,10.674168818450486,2.374380944211771,4.2404993940663305,11.249859553943999,-4.472067020136364,-12.438856080188193,-0.9538167918975502,-0.29358210703965043,-0.2406083861703734,0.4010139769506221,0.0866043343902048,-0.3964843881924538,0.36191779955056974,-346.8000793457031,-270.13629150390625,-240.9622039794922,-320.9417724609375,-376.0223388671875,-295.9183654785156,4.184283986282792,3.0243993199886288,11.490571481977575,5.987266346239562,1.306780115042809,10.637245461448362,99,5.213565,7,-1,1,0.809,1,0.5710000000000001,0.429,1.13,0.0,319.452,191.153,277.998,210.18200000000002,1.992,0.061286,>0<2
0.0,0.0,0.0,-0.28866418866362936,0.5764864153002313,-0.28866423617263065,-0.2886852379869244,-0.2886860144213768,0.5782132620048277,0.05924028572040421,-0.03707965787926922,0.059240285720404275,-0.4345821806595993,-0.4739072759347484,0.7603660290520213,-0.28867262558322154,0.577097338257589,-0.2886721050048109,-0.28867776411918544,-0.2886779719811497,0.5776031251672598,-1.3665907768489942,-10.83607821121238,-1.3665907768489989,11.831828511497884,12.573509464624884,-10.836078211212397,9.236927250430924,-11.241713355915834,9.236927250430924,0.4970574278244726,3.5125147831453467,-11.241713355915838,-0.16860965091027727,0.4756953327592942,-0.036958632009670506,-0.2502020941773709,-0.27954071629012883,0.4756953327592948,-2535.307861328125,921.158935546875,-295.48223876953125,-1348.2646484375,2338.885009765625,921.158935546875,-2.27549760508629,10.157513359987924,-2.27549760508629,-7.1234499971163885,-8.935202442096,10.157513359987924,98,6.724889999999999,20,1,7,0.805,2,0.25,0.077,-4.07,0.24,730.171,427.536,608.533,414.426,5.59,0.00385,>4<50
1.0,0.375,0.0,0.4305205276005178,-0.3999455756312769,0.4518657305907201,-0.03480514593021348,-0.6416172347788265,0.1939816981490836,0.11396838260485062,0.8004131961819159,0.1139683826048501,-0.5724764309722143,0.07504576531713543,0.0,0.53555885740181,-0.16385544962858284,0.54330863501343,-0.12965826360892685,-0.5742564650494518,-0.211097314128228,2.933630613268277,-8.448814304792085,-0.2700260634462996,0.2611278007392496,-9.829828598023452,15.35391055225432,0.3609584813505178,-9.335433198065052,0.3609584813505178,5.612832490366792,10.730220422754217,-7.729536677756988,0.09996770553648568,-0.3321847730924481,0.12720098894485996,0.2109636755865073,-0.4537782944006261,0.5076636452514953,-72.1138916015625,-433.0237121582031,318.2261962890625,-249.79312133789062,111.10765838623048,-640.169921875,8.984261667817488,10.754761332203376,8.984261667817488,5.953166488023754,10.997405832772396,-0.78591263782167,99,5.887521,10,-1,5,0.764,1,0.5,0.28800000000000003,-2.72,0.51,305.41,185.375,248.668,194.155,1.5590000000000002,0.0288,>0<2
0.875,0.0,0.0,-0.4061073924241595,0.13391707662541474,-0.4046780494520851,0.5138548355846462,0.5151224824773294,-0.35210895286953114,0.0,0.0,0.0,0.0,0.0,1.0,0.31066188965193225,-0.20997707116055625,0.3076022685066387,-0.4882027733325791,-0.4715323610222252,0.5514480473566656,3.0039139914645183,-2.596282553989306,0.25699355792913936,-8.082898099945261,-8.832362401943824,16.250635506484713,8.568598893389062,2.4509994704238682,8.568598893389062,-8.934513005665101,-8.934513005665101,-1.7191712458717867,0.3084470140748541,-0.14109202554433925,0.3084470140748542,-0.30844701407485425,-0.3084470140748545,0.4232760766330175,2944.457763671875,1845.210205078125,-1564.9962158203125,-254.8755645751953,-254.8755645751953,870.576904296875,7.7409547725471155,10.802125607547604,7.7409547725471155,12.229022681667276,12.229022681667276,-1.2839103074621032,99,5.449466999999999,8,1,5,0.6679999999999999,2,0.875,0.932,-4.5,0.0,267.217,139.04,216.43900000000002,129.987,0.139,0.1165,>0<2
1.0,0.0,0.0,-0.3371352027171295,-0.5298157340265355,0.485173648855771,0.4902596641869499,-0.3032421140617779,0.19475973776277114,0.0,0.0,0.0,0.0,0.0,1.0,-0.2482001760541105,-0.4631871128302535,0.5636568167597683,0.5647180023572498,-0.2207338971328313,-0.19625363310042893,-1.040727797434147,-8.905629240271125,-0.6859276356062279,4.483174991993007,-11.27431676546056,17.423426446779064,6.790027355327405,5.585929758569422,-3.922043731117777,-3.9220437311177783,10.898000365153397,-15.429870016814673,-0.30844701407485403,-0.308447014074854,0.3084470140748545,0.3084470140748545,-0.14109202554433894,0.4232760766330176,332.80242919921875,503.59466552734375,167.1790008544922,696.6672973632812,-3.6158313751220703,-196.6965789794922,6.878568248330492,8.287262881776156,11.402082374254176,11.402082374254176,10.738399040121543,3.5108765884000217,97,5.479181,16,0,2,0.898,0,0.43799999999999994,0.39,-0.07,0.5,486.334,364.899,300.434,269.46299999999997,3.761,0.024375,>2<4
1.0,1.0,1.0,0.08082512255382243,-0.195851459288478,0.5156103262651309,-0.439829162112674,-0.4778890785355857,0.5171342511178024,0.16985652942910465,0.1563895906440154,0.4429473842762628,-0.4649324867836441,-0.6461138432383029,0.3418528256725698,0.08955631338651915,0.06533556657385417,0.4604427697107191,-0.5516868953164767,-0.5162407624698704,0.4525930081152426,-2.9003423520579843,0.7424199906370215,-9.568876120107463,10.265410853836467,11.030263747799435,-9.56887612010747,-2.193051717065516,7.7087597366203235,-1.1451440497488448,-11.549559048131965,11.756015841737185,-4.577020763411179,-0.14516408171444292,0.2903281634288853,-0.3057311213418695,0.2903281634288853,0.3937161201120749,-0.3057311213418697,735.5695190429688,1715.30126953125,-395.86627197265625,2820.813720703125,-1714.1712646484375,-395.86627197265625,4.799236068181259,9.667986666849039,2.0436878379141743,9.481371010233277,11.87933763251626,2.0436878379141743,100,8.985828999999997,21,-2,8,0.894,1,0.28600000000000003,0.125,-3.79,0.0,1575.006,998.252,1152.5,897.087,7.481,0.005952000000000001,>4<50
1.0,0.0,0.0,0.5138633165266826,0.08385824698554956,0.07670357441616704,-0.5506431464298356,-0.5158513368544629,0.3920693453559035,0.42822984842668704,-0.21780576950217487,0.5817094423214095,0.464108806424817,0.4641088064248171,0.0,0.2711393952311251,0.30546073426171383,-0.26877183417730105,-0.4722958558416826,-0.4297968363279173,0.5942643968540009,2.8844084337811218,1.3748995250526792,-3.29639189861868,-8.157638807098953,-8.874060022812222,16.068782769696046,-10.709470989833253,7.404288357262255,-6.45319626677537,-1.8944435440197744,8.915196126785956,2.737626316580178,0.3088890003272909,0.30888900032729105,-0.21310188765750804,-0.21310188765750804,-0.3088890003272909,0.4477314376329579,2759.279541015625,-1860.204345703125,632.64208984375,-520.1205444335939,-520.1205444335939,1631.485107421875,6.722292411867577,8.378797563991231,10.239353049946484,12.643221183556031,12.643221183556031,-1.3184678348022678,101,5.533811,11,-1,3,0.8270000000000001,0,0.455,0.41700000000000004,-1.74,0.0,140.513,72.973,125.005,80.774,2.35,0.037909,>2<4
0.0,0.0,0.0,-0.2682043971106671,-0.4272578762976863,0.5258946972684816,0.0731902928262908,-0.43084724768946425,0.527224531003065,-0.1855027019769066,-0.3750413921617781,0.5227484717732211,0.07825308243775553,-0.542112236689992,0.5016547766176933,-0.0715071716421911,-0.4277070795267605,0.4951500992834778,0.10757156679999216,-0.5760872002130574,0.4725797852985897,0.6942860749199165,10.433841980053217,-10.335889067446946,-2.85626350906373,12.399913588984475,-10.33588906744694,-6.566209112570121,5.007637198429286,10.88605011006663,2.151601703220709,-12.346714432811133,0.8676345336646291,0.1745168152772036,0.3387389311645653,-0.3387389311645653,-0.17451681527720345,0.3599736805107949,-0.3599736805107948,-119.81781005859376,-83.81671905517578,-102.09317016601562,-63.266090393066406,-158.6029052734375,-138.00689697265622,6.968194293687112,7.347628923531354,8.335426675574725,10.880893208164768,6.997152201340443,8.335426675574725,98,5.673271,16,2,4,0.894,0,0.375,0.21899999999999997,-1.17,0.0,410.93,238.148,314.83799999999997,210.329,2.966,0.013687000000000001,>2<4
