Access,Relacc,Scacc,Screlacc,Access_avg,Relacc_avg,Scacc_avg,Screlacc_avg,ID
558.582,312.326,476.229,318.886,42.96784615384615,24.025076923076924,36.632999999999996,24.529692307692308,3I02_1
854.6759999999998,587.9509999999999,580.922,396.53499999999997,44.982947368421044,30.944789473684207,30.57484210526316,20.870263157894737,5UEL_1
349.801,238.574,231.667,189.87,38.86677777777778,26.508222222222223,25.74077777777778,21.096666666666668,5LDN_1
1066.2939999999999,702.568,735.9240000000001,485.805,62.72317647058823,41.32752941176471,43.28964705882353,28.576764705882354,4OB5_1
159.928,86.196,136.759,86.366,19.991,10.7745,17.094875,10.79575,3N85_1
228.96,192.07,119.70500000000001,92.788,32.70857142857143,27.43857142857143,17.100714285714286,13.25542857142857,1JGL_1
478.462,320.21200000000005,348.142,230.613,53.162444444444446,35.57911111111112,38.68244444444444,25.623666666666665,5YWF_1
95.094,62.975,70.205,61.539,31.697999999999997,20.991666666666667,23.401666666666667,20.513,5DMG_1
839.1619999999999,510.13100000000003,812.1600000000001,678.0949999999999,55.944133333333326,34.00873333333333,54.144000000000005,45.206333333333326,5MHE_1
485.821,235.64599999999996,458.524,261.57599999999996,48.582100000000004,23.564599999999995,45.8524,26.157599999999995,1BLN_1
1055.233,856.7969999999999,0.0,0.0,55.53857894736842,45.09457894736842,0.0,0.0,1ZVO_1
,,,,,,,,fails
754.5749999999999,392.16700000000003,642.0110000000001,407.38800000000003,68.59772727272727,35.651545454545456,58.36463636363637,37.035272727272734,1D5I_1
291.783,154.191,262.408,172.753,32.42033333333333,17.132333333333335,29.156444444444446,19.194777777777777,3B9K_1
628.473,320.275,511.28200000000004,317.753,69.83033333333333,35.58611111111111,56.809111111111115,35.30588888888889,6EMJ_2
705.0989999999999,435.545,550.6229999999999,446.55499999999995,44.068687499999996,27.2215625,34.413937499999996,27.909687499999997,4JDV_1
443.78799999999995,223.15099999999998,358.497,205.513,26.105176470588233,13.126529411764706,21.088058823529412,12.089,5E08_1
311.492,218.73700000000002,212.516,147.12699999999998,34.61022222222223,24.304111111111112,23.61288888888889,16.34744444444444,5W5Z_1
307.6499999999999,181.764,236.23199999999997,186.88,51.274999999999984,30.294,39.37199999999999,31.146666666666665,5DR5_1
602.3389999999999,343.96200000000005,473.248,308.1,54.7580909090909,31.26927272727273,43.02254545454545,28.00909090909091,4QF1_1
875.875,500.382,620.167,371.95200000000006,58.391666666666666,33.3588,41.34446666666667,24.796800000000005,6ELE_1
790.4150000000001,490.355,630.0849999999999,463.44699999999995,52.69433333333334,32.690333333333335,42.00566666666666,30.89646666666666,3U36_1
654.7030000000001,425.70700000000005,478.7830000000001,403.03800000000007,27.27929166666667,17.73779166666667,19.94929166666667,16.793250000000004,6D0U_1
795.8570000000001,529.311,606.7660000000001,451.159,56.84692857142858,37.807928571428576,43.340428571428575,32.22564285714286,3QHF_1
250.32899999999998,160.219,189.397,132.816,22.757181818181817,14.565363636363635,17.21790909090909,12.074181818181819,3L5X_1
254.478,133.543,203.608,123.75300000000001,31.80975,16.692875,25.451,15.469125000000002,1KIR_1
519.6890000000001,400.62199999999996,282.446,208.71699999999998,28.871611111111115,22.256777777777774,15.691444444444446,11.595388888888888,6C6Z_1
490.11400000000003,313.59399999999994,347.00100000000003,233.318,49.0114,31.359399999999994,34.700100000000006,23.3318,5I1G_1
198.99,99.561,177.582,106.084,24.87375,12.445125,22.19775,13.2605,2WUC_1
447.603,296.86,322.42799999999994,247.78799999999998,31.971642857142857,21.204285714285714,23.030571428571424,17.699142857142856,1BJ1_1
146.403,83.614,107.42699999999999,60.745000000000005,29.2806,16.7228,21.4854,12.149000000000001,5TIH_1
726.626,392.398,604.374,393.829,38.24347368421053,20.652526315789476,31.809157894736842,20.727842105263157,6OT0_1
500.66799999999995,299.54100000000005,400.77,293.849,38.51292307692307,23.04161538461539,30.828461538461536,22.60376923076923,2R0W_1
299.46399999999994,176.30699999999996,284.039,210.99599999999998,29.946399999999993,17.630699999999997,28.4039,21.0996,3I50_1
285.553,155.015,256.093,174.037,28.5553,15.501499999999998,25.6093,17.4037,6H5N_1
216.21099999999998,153.294,148.965,117.98299999999998,21.6211,15.329400000000001,14.8965,11.798299999999998,5I8K_1
440.5350000000001,345.577,284.58500000000004,273.319,27.533437500000005,21.5985625,17.786562500000002,17.0824375,6B0A_1
219.79999999999995,178.377,132.702,108.42499999999998,31.399999999999995,25.482428571428574,18.957428571428572,15.489285714285712,1KCV_1
441.3359999999999,222.956,369.69100000000003,232.01500000000004,49.03733333333332,24.772888888888886,41.07677777777778,25.77944444444445,6FOE_1
415.742,236.88100000000003,369.47100000000006,261.627,41.574200000000005,23.688100000000002,36.947100000000006,26.1627,4R96_1
259.7269999999999,133.11700000000002,220.803,132.579,19.978999999999992,10.239769230769232,16.984846153846153,10.198384615384615,1W72_1
454.222,293.721,365.41600000000005,257.962,45.4222,29.3721,36.5416,25.7962,1F11_1
99.544,51.141000000000005,95.969,59.513,24.886,12.785250000000001,23.99225,14.87825,1TQB_1
443.08400000000006,232.369,391.79100000000005,247.983,55.38550000000001,29.046125,48.97387500000001,30.997875,1A7N_1
252.601,182.15800000000002,186.62,152.83900000000003,28.066777777777776,20.23977777777778,20.735555555555557,16.982111111111113,3TT3_1
724.6099999999999,417.98699999999997,529.677,356.57199999999995,38.13736842105263,21.999315789473684,27.877736842105264,18.76694736842105,4UT9_1
390.68399999999997,252.47899999999998,328.79600000000005,265.594,24.417749999999998,15.779937499999999,20.549750000000003,16.599625,4FQK_1
